Removed Pin From Net: NetName=VBAT Pin=U1-1
Removed Pin From Net: NetName=GND Pin=U1-2
Removed Pin From Net: NetName=+5V Pin=U1-3
Removed Pin From Net: NetName=EN1 Pin=U2-15
Removed Pin From Net: NetName=GND Pin=U2-18
Removed Pin From Net: NetName=+5V Pin=U2-19
Removed Pin From Net: NetName=EN1 Pin=U3-1
Removed Pin From Net: NetName=GND Pin=U3-4
Removed Pin From Net: NetName=GND Pin=U3-5
Removed Pin From Net: NetName=+5V Pin=U3-8
Removed Pin From Net: NetName=GND Pin=U3-12
Removed Pin From Net: NetName=GND Pin=U3-13
Removed Member From Class: ClassName=Sheet1 Member=PM1
Removed Member From Class: ClassName=Sheet1 Member=PM2
Change Component Footprint: Designator=U3 Old Footprint=DIP880W50P254L2000H510Q16 New Footprint=SOT229P700X180-4N
Change Component Footprint: Designator=U2 Old Footprint=MODULE_ESP32-DEVKITC New Footprint=FP-D0014A-IPC_A
Change Component Footprint: Designator=U1 Old Footprint=TO220 New Footprint=SOT229P700X180-4N
Change Component Comment : Designator=U2 Old Comment=ESP32-DEVKITC New Comment=SN74HC86DR
Change Component Comment : Designator=U3 Old Comment=L293D New Comment=AMS1117-3.3
Change Component Comment : Designator=U1 Old Comment=L7805CV New Comment=AMS1117-5.0
Change Component Designator: OldDesignator=PBAT NewDesignator=PBAT1
Change Managed Component Library Link : Designator=U1 Old VaultGUID=81A02EA9-F65D-4D87-AC59-1A19B9A78F58 New VaultGUID= Old ItemGUID=82FF50EE-306B-47D6-A825-EAE5C12407CE New ItemGUID= Old RevisionGUID=45A9D4CE-EC1E-4E2B-BC6F-44F94B472204 New RevisionGUID=
Change Managed Component Library Link : Designator=U2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=AD47A9BA-33F7-4D9D-B3EC-EAD7B56AE661 Old RevisionGUID= New RevisionGUID=E07A5B1A-F999-4C98-8DBF-E3661AEF755B
Change component parameters: Designator = "U1" ("U1"); Footprint = "TO220"; UniqueID = "\ZSRBCHBC" ("\ZSRBCHBC")
Change component parameters (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "{'manufacturer': u'ams'}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "AMS1117-5.0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "U2" ("U2"); Footprint = "MODULE_ESP32-DEVKITC"; UniqueID = "\PQSHWZRU" ("\PQSHWZRU")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.58mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "High Level Output Current"; Value = "-5.2mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "8.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Logic Function"; Value = "XOR GATE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Low Level Output Current"; Value = "5.2mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "6V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Supply Voltage"; Value = "2V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Bits"; Value = "4"; VariantName = "[No Variations]"
